no of cells ,drug
1,untreated
1,untreated
2,untreated
2,untreated
3,untreated
4,untreated
5,untreated
6,untreated
6,untreated
6,untreated
6,untreated
6,untreated
6,untreated
7,untreated
7,untreated
8,untreated
9,untreated
9,untreated
9,untreated
10,untreated
10,untreated
10,untreated
10,untreated
11,untreated
11,untreated
11,untreated
12,untreated
13,untreated
13,untreated
14,untreated
15,untreated
15,untreated
16,untreated
16,untreated
16,untreated
16,untreated
16,untreated
17,untreated
17,untreated
17,untreated
19,untreated
21,untreated
21,untreated
21,untreated
21,untreated
22,untreated
22,untreated
23,untreated
23,untreated
23,untreated
24,untreated
25,untreated
26,untreated
26,untreated
26,untreated
26,untreated
26,untreated
27,untreated
28,untreated
29,untreated
30,untreated
31,untreated
31,untreated
32,untreated
33,untreated
34,untreated
34,untreated
35,untreated
37,untreated
37,untreated
37,untreated
38,untreated
38,untreated
38,untreated
39,untreated
39,untreated
39,untreated
39,untreated
39,untreated
39,untreated
40,untreated
40,untreated
40,untreated
40,untreated
41,untreated
41,untreated
44,untreated
54,untreated
56,untreated
57,untreated
60,untreated
66,untreated
68,untreated
73,untreated
73,untreated
74,untreated
76,untreated
76,untreated
86,untreated
95,untreated
0,0
32,treated 
33,treated 
34,treated 
35,treated 
37,treated 
37,treated 
42,treated 
48,treated 
50,treated 
51,treated 
51,treated 
54,treated 
57,treated 
57,treated 
59,treated 
62,treated 
63,treated 
63,treated 
64,treated 
64,treated 
64,treated 
65,treated 
67,treated 
68,treated 
71,treated 
72,treated 
73,treated 
73,treated 
76,treated 
77,treated 
80,treated 
81,treated 
84,treated 
85,treated 
85,treated 
87,treated 
87,treated 
88,treated 
89,treated 
90,treated 
90,treated 
90,treated 
90,treated 
91,treated 
92,treated 
93,treated 
93,treated 
93,treated 
93,treated 
94,treated 
94,treated 
95,treated 
95,treated 
96,treated 
96,treated 
96,treated 
96,treated 
97,treated 
97,treated 
97,treated 
97,treated 
97,treated 
98,treated 
98,treated 
98,treated 
98,treated 
98,treated 
98,treated 
98,treated 
98,treated 
98,treated 
98,treated 
99,treated 
99,treated 
99,treated 
100,treated 
100,treated 
100,treated 
101,treated 
101,treated 
101,treated 
102,treated 
102,treated 
102,treated 
102,treated 
104,treated 
106,treated 
108,treated 
109,treated 
109,treated 
112,treated 
113,treated 
116,treated 
116,treated 
117,treated 
120,treated 
120,treated 
122,treated 
122,treated 
126,treated 
